subject,relation,object,subject_label,object_label,sentence,source_url
obesity,hasSymptom*,gain,DISEASE,SYMPTOM,"Risk factors  Factors during pregnancy that have been linked to the development of asthma include weight gain or obesity in the mother, stressful pregnancy, smoking while pregnant, the use of certain medications while pregnant and caesarean section.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,fever,DISEASE,SYMPTOM,"Multi-trait studies identify shared risk genes across asthma, hay fever, and eczema, supporting partially common pathways involving type 2 immunity and epithelial barrier dysfunction.",https://en.wikipedia.org/wiki/Asthma
eczema,hasSymptom*,fever,DISEASE,SYMPTOM,"Multi-trait studies identify shared risk genes across asthma, hay fever, and eczema, supporting partially common pathways involving type 2 immunity and epithelial barrier dysfunction.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Pathophysiology  The mechanisms underlying asthma and asthma symptoms include spasms in the bronchial muscles, inflammation in the airways, hypersensitive airways, and excessive secretion of mucus in the airways.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Pathophysiology  The mechanisms underlying asthma and asthma symptoms include spasms in the bronchial muscles, inflammation in the airways, hypersensitive airways, and excessive secretion of mucus in the airways.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Airway inflammation is consistent across everyone with asthma, regardless of symptoms.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"The cells involved in the inflammation seen in asthma include eosinophils, neutrophils, CD4 T lymphocytes, mast cells, basophils, macrophages, respiratory epithelium, endothelial, and smooth muscle cells.",https://en.wikipedia.org/wiki/Asthma
Asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Diagnosis Asthma is defined by the Global Initiative for Asthma as:   ... a heterogeneous disease, usually characterized by chronic airway inflammation.",https://en.wikipedia.org/wiki/Asthma
Asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Diagnosis Asthma is defined by the Global Initiative for Asthma as:   ... a heterogeneous disease, usually characterized by chronic airway inflammation.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"According to European Respiratory Society, it may not be suitable to label wheezing preschool children with the term asthma because there is lack of clinical data on inflammation in airways.",https://en.wikipedia.org/wiki/Asthma
COPD,hasMedication*,ACE,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
COPD,hasMedication*,inhibitors,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
congestive,hasMedication*,ACE,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
congestive,hasMedication*,inhibitors,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
heart,hasMedication*,ACE,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
heart,hasMedication*,inhibitors,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
failure,hasMedication*,ACE,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
failure,hasMedication*,inhibitors,DISEASE,MEDICATION,"In adults, COPD, congestive heart failure, airway masses, as well as drug-induced coughing due to ACE inhibitors may cause similar symptoms.",https://en.wikipedia.org/wiki/Asthma
COPD,hasMedication*,corticosteroids,DISEASE,MEDICATION,"However, this level of investigation is not performed due to COPD and asthma sharing similar principles of management: corticosteroids, long-acting beta-agonists, and smoking cessation.",https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,corticosteroids,DISEASE,MEDICATION,"However, this level of investigation is not performed due to COPD and asthma sharing similar principles of management: corticosteroids, long-acting beta-agonists, and smoking cessation.",https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,antibiotics,DISEASE,MEDICATION,"Prevention Currently, the only methods of preventing asthma that have been endorsed by clinical guidelines are avoiding the use of broad-spectrum antibiotics in the first year of a child's life, eliminating exposure to tobacco smoke both in utero and following birth, appropriate assessment and treat",https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,Aspirin,DISEASE,MEDICATION,"Certain medications such as Aspirin, beta-blockers, and nonsteroidal anti-inflammatory drugs (NSAIDs) can worsen asthma symptoms in some individuals.",https://en.wikipedia.org/wiki/Asthma
Obesity,hasSymptom*,weight,DISEASE,SYMPTOM,"Obesity can cause asthma symptoms to be harder to control or cause more severe symptoms, weight loss in obese individuals is therefore recommended.",https://en.wikipedia.org/wiki/Asthma
Obesity,hasSymptom*,loss,DISEASE,SYMPTOM,"Obesity can cause asthma symptoms to be harder to control or cause more severe symptoms, weight loss in obese individuals is therefore recommended.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,weight,DISEASE,SYMPTOM,"Obesity can cause asthma symptoms to be harder to control or cause more severe symptoms, weight loss in obese individuals is therefore recommended.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,loss,DISEASE,SYMPTOM,"Obesity can cause asthma symptoms to be harder to control or cause more severe symptoms, weight loss in obese individuals is therefore recommended.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Medications  Medications for asthma are generally divided into three categories, controllers — taken daily to control symptoms, reduce exacerbations and decrease inflammation — relievers — taken as needed for severe symptoms or exacerbations — and additional medications added on to manage more sever",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,"Medications  Medications for asthma are generally divided into three categories, controllers — taken daily to control symptoms, reduce exacerbations and decrease inflammation — relievers — taken as needed for severe symptoms or exacerbations — and additional medications added on to manage more sever",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,Biologics can be used to reduce inflammation that may play a role in asthma symptoms.,https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,corticosteroids,DISEASE,MEDICATION,"Finally, oral corticosteroids or bronchial thermoplasty may be used as last resorts for severe asthma.",https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,corticosteroids,DISEASE,MEDICATION,"Treatment of asthma exacerbations involves several doses of bronchodilators, oral corticosteroids, and oxygen supplementation.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,fever,DISEASE,SYMPTOM,"In 1886, F. H. Bosworth theorized a connection between asthma and hay fever.",https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,inflammation,DISEASE,SYMPTOM,The successful results of using epinephrine provided encouraging medical data on the hypothesis that asthma was due to vasodilation and the subsequent inflammation of the swelling of the bronchial mucosa.,https://en.wikipedia.org/wiki/Asthma
asthma,hasSymptom*,swelling,DISEASE,SYMPTOM,The successful results of using epinephrine provided encouraging medical data on the hypothesis that asthma was due to vasodilation and the subsequent inflammation of the swelling of the bronchial mucosa.,https://en.wikipedia.org/wiki/Asthma
asthma,hasMedication*,corticosteroids,DISEASE,MEDICATION,The efficacy of anecdotal applications of oral corticosteroids (OCS) for the asthma was published in 1952.,https://en.wikipedia.org/wiki/Asthma
pneumonia,hasSymptom*,fever,DISEASE,SYMPTOM,"As fever and other systemic symptoms are less common in acute bronchitis than in pneumonia, their presence raises suspicion for the latter, especially high or persistent fevers.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,cough,DISEASE,SYMPTOM,"During examination, physicians rely on history and the presence of persistent or acute onset of cough, followed by a URTI with no traces of pneumonia.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,cough,DISEASE,SYMPTOM,"Acute bronchitis is typically a clinical diagnosis that relies on patients history and exam, and should be suspected in patients with an acute onset of cough, which often follows a URTI without traces of pneumonia.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,cough,DISEASE,SYMPTOM,"A variety of tests may be performed in people presenting with cough and shortness of breath:  A chest X-ray is useful to exclude pneumonia which is more common in those with a fever, fast heart rate, fast respiratory rate, or who are old.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,shortness,DISEASE,SYMPTOM,"A variety of tests may be performed in people presenting with cough and shortness of breath:  A chest X-ray is useful to exclude pneumonia which is more common in those with a fever, fast heart rate, fast respiratory rate, or who are old.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,of,DISEASE,SYMPTOM,"A variety of tests may be performed in people presenting with cough and shortness of breath:  A chest X-ray is useful to exclude pneumonia which is more common in those with a fever, fast heart rate, fast respiratory rate, or who are old.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,breath,DISEASE,SYMPTOM,"A variety of tests may be performed in people presenting with cough and shortness of breath:  A chest X-ray is useful to exclude pneumonia which is more common in those with a fever, fast heart rate, fast respiratory rate, or who are old.",https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,fever,DISEASE,SYMPTOM,"A variety of tests may be performed in people presenting with cough and shortness of breath:  A chest X-ray is useful to exclude pneumonia which is more common in those with a fever, fast heart rate, fast respiratory rate, or who are old.",https://en.wikipedia.org/wiki/Acute_bronchitis
influenza,hasSymptom*,fever,DISEASE,SYMPTOM,A persistent fever greater than 100°F (37.8°C) should suggest consideration of influenza or pneumonia.,https://en.wikipedia.org/wiki/Acute_bronchitis
pneumonia,hasSymptom*,fever,DISEASE,SYMPTOM,A persistent fever greater than 100°F (37.8°C) should suggest consideration of influenza or pneumonia.,https://en.wikipedia.org/wiki/Acute_bronchitis
chronic,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
chronic,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
chronic,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
chronic,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
chronic,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
chronic,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
obstructive,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pulmonary,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
disease,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasSymptom*,shortness,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasSymptom*,of,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasSymptom*,breath,DISEASE,SYMPTOM,"An acute exacerbation of chronic obstructive pulmonary disease, or acute exacerbations of chronic bronchitis (AECB), is a sudden worsening of chronic obstructive pulmonary disease (COPD) symptoms including shortness of breath, quantity and color of phlegm that typically lasts for several days.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pneumonia,hasSymptom*,fever,DISEASE,SYMPTOM,"A chest X-ray is usually performed on people with fever and, especially, hemoptysis (blood in the sputum), to rule out pneumonia and get information on the severity of the exacerbation.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
pneumonia,hasSymptom*,hemoptysis,DISEASE,SYMPTOM,"A chest X-ray is usually performed on people with fever and, especially, hemoptysis (blood in the sputum), to rule out pneumonia and get information on the severity of the exacerbation.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasMedication*,corticosteroids,DISEASE,MEDICATION,"Regular medication use can prevent some COPD exacerbations; long acting beta-adrenoceptor agonists (LABAs), long-acting anticholinergics, inhaled corticosteroids and low-dose theophylline have all been shown to reduce the frequency of  COPD exacerbations.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasMedication*,corticosteroids,DISEASE,MEDICATION,"Regular medication use can prevent some COPD exacerbations; long acting beta-adrenoceptor agonists (LABAs), long-acting anticholinergics, inhaled corticosteroids and low-dose theophylline have all been shown to reduce the frequency of  COPD exacerbations.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasMedication*,antibiotics,DISEASE,MEDICATION,"Choice of antibiotics is also dependent on the severity of the symptoms: ""Simple"" COPD is generally where a person 65 years or less, has fewer than four exacerbations per year, has minimal or moderate impairment in respiratory function and no comorbid disease.",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
COPD,hasMedication*,corticosteroids,DISEASE,MEDICATION,"According to a 2018 systematic review, a shorter, five-day course of systemic corticosteroids is likely comparable to longer (10–14 day) therapy for treatment of COPD exacerbation (Odds ratio (OR) 0.72, 95% confidence interval (CI) 0.36 to 1.46).",https://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
heart,hasSymptom*,edema,DISEASE,SYMPTOM,Pathophysiology  ARDS is a form of fluid accumulation in the lungs not explained by heart failure (noncardiogenic pulmonary edema).,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
failure,hasSymptom*,edema,DISEASE,SYMPTOM,Pathophysiology  ARDS is a form of fluid accumulation in the lungs not explained by heart failure (noncardiogenic pulmonary edema).,https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
heart,treatedBy*,pathology,DISEASE,MEDICAL_SPECIALTY,"According to the 2012 Berlin definition, adult ARDS is characterized by the following:   lung injury of acute onset, within 1 week of an apparent clinical insult and with the progression of respiratory symptoms bilateral opacities on chest imaging (chest radiograph or CT) not explained by other lung",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
failure,treatedBy*,pathology,DISEASE,MEDICAL_SPECIALTY,"According to the 2012 Berlin definition, adult ARDS is characterized by the following:   lung injury of acute onset, within 1 week of an apparent clinical insult and with the progression of respiratory symptoms bilateral opacities on chest imaging (chest radiograph or CT) not explained by other lung",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
heart,hasSymptom*,edema,DISEASE,SYMPTOM,"Generally, radiographic findings of fluid accumulation (pulmonary edema) affecting both lungs and unrelated to increased cardiopulmonary vascular pressure (such as in heart failure) may be suggestive of ARDS.",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
failure,hasSymptom*,edema,DISEASE,SYMPTOM,"Generally, radiographic findings of fluid accumulation (pulmonary edema) affecting both lungs and unrelated to increased cardiopulmonary vascular pressure (such as in heart failure) may be suggestive of ARDS.",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
sepsis,hasTreatment*,mechanical,DISEASE,TREATMENT,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
sepsis,hasTreatment*,ventilation,DISEASE,TREATMENT,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
sepsis,treatedBy*,surgery,DISEASE,MEDICAL_SPECIALTY,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
sepsis,hasSymptom*,edema,DISEASE,SYMPTOM,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
pneumonia,hasTreatment*,mechanical,DISEASE,TREATMENT,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
pneumonia,hasTreatment*,ventilation,DISEASE,TREATMENT,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
pneumonia,treatedBy*,surgery,DISEASE,MEDICAL_SPECIALTY,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
pneumonia,hasSymptom*,edema,DISEASE,SYMPTOM,"Other triggers include mechanical ventilation, sepsis, pneumonia, Gilchrist's disease, drowning, circulatory shock, aspiration, trauma—especially pulmonary contusion—major surgery, massive blood transfusions, smoke inhalation, drug reaction or overdose, fat emboli and reperfusion pulmonary edema aft",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
Diabetes,hasSymptom*,edema,DISEASE,SYMPTOM,"Diabetes was originally thought to decrease the risk of ARDS, but this has shown to be due to an increase in the risk of pulmonary edema.",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
hypertension,hasSymptom*,dyspnea,DISEASE,SYMPTOM,"The definition required the following criteria to be met:  acute onset, persistent dyspnea bilateral infiltrates on chest radiograph consistent with pulmonary edema hypoxemia, defined as PaO2:FiO2 < 200 mmHg (26.7 kPa) absence of left atrial (LA) hypertension pulmonary artery wedge pressure < 18 mmH",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
hypertension,hasSymptom*,edema,DISEASE,SYMPTOM,"The definition required the following criteria to be met:  acute onset, persistent dyspnea bilateral infiltrates on chest radiograph consistent with pulmonary edema hypoxemia, defined as PaO2:FiO2 < 200 mmHg (26.7 kPa) absence of left atrial (LA) hypertension pulmonary artery wedge pressure < 18 mmH",https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome
